iter	Passed	Remaining
0	134	134625
1	136	68238
2	138	46013
3	140	34878
4	141	28207
5	143	23771
6	145	20626
7	147	18291
8	149	16453
9	151	14975
10	152	13749
11	154	12746
12	156	11889
13	158	11142
14	159	10498
15	161	9949
16	163	9453
17	165	9011
18	166	8607
19	168	8243
20	169	7916
21	171	7622
22	173	7349
23	174	7097
24	176	6865
25	177	6650
26	179	6451
27	180	6261
28	181	6089
29	183	5930
30	184	5778
31	186	5630
32	187	5488
33	188	5362
34	190	5242
35	191	5124
36	192	5007
37	193	4898
38	194	4795
39	195	4695
40	196	4599
41	197	4508
42	198	4418
43	199	4335
44	200	4255
45	201	4181
46	202	4107
47	203	4036
48	204	3967
49	205	3900
50	206	3835
51	206	3772
52	207	3713
53	208	3655
54	209	3599
55	210	3542
56	210	3488
57	211	3436
58	212	3385
59	212	3336
60	213	3289
61	214	3243
62	215	3199
63	215	3155
64	216	3113
65	217	3072
66	217	3033
67	218	2990
68	218	2952
69	219	2916
70	220	2881
71	220	2847
72	221	2813
73	222	2780
74	222	2749
75	223	2718
76	224	2688
77	224	2659
78	225	2630
79	226	2602
80	226	2574
81	227	2548
82	228	2522
83	228	2497
84	229	2469
85	230	2444
86	230	2418
87	231	2396
88	232	2376
89	233	2357
90	233	2335
91	234	2314
92	235	2293
93	236	2275
94	236	2256
95	237	2238
96	238	2220
97	239	2201
98	240	2185
99	240	2166
100	241	2148
101	241	2128
102	242	2112
103	243	2095
104	243	2079
105	245	2066
106	245	2050
107	246	2035
108	247	2020
109	247	2005
110	248	1991
111	249	1976
112	250	1962
113	250	1948
114	251	1934
115	251	1920
116	252	1906
117	253	1893
118	253	1879
119	254	1866
120	255	1854
121	255	1841
122	256	1826
123	256	1815
124	257	1803
125	258	1793
126	259	1781
127	259	1770
128	260	1759
129	261	1749
130	262	1739
131	262	1728
132	263	1717
133	264	1706
134	264	1696
135	265	1685
136	265	1674
137	266	1663
138	266	1653
139	267	1642
140	268	1632
141	268	1622
142	269	1613
143	269	1603
144	270	1593
145	270	1584
146	271	1575
147	272	1566
148	272	1558
149	273	1549
150	274	1541
151	274	1532
152	275	1524
153	275	1516
154	276	1507
155	277	1499
156	277	1491
157	278	1483
158	278	1475
159	279	1467
160	280	1460
161	280	1452
162	281	1444
163	282	1437
164	282	1430
165	283	1422
166	283	1415
167	284	1408
168	285	1401
169	285	1394
170	286	1389
171	287	1382
172	287	1375
173	288	1368
174	288	1362
175	289	1355
